"rep";"lac";"mu";"gam";"laa";"K"
1;0,1;1e-05;0,02;0,5;Inf
2;0,1;1e-05;0,02;0,5;Inf
3;0,1;1e-05;0,02;0,5;Inf
4;0,1;1e-05;0,02;0,5;Inf
5;0,1;1e-05;0,02;0,5;Inf
6;0,1;1e-05;0,02;0,5;Inf
7;0,1;1e-05;0,02;0,5;Inf
8;0,1;1e-05;0,02;0,5;Inf
9;0,1;1e-05;0,02;0,5;Inf
10;0,1;1e-05;0,02;0,5;Inf
1;0,2;1e-05;0,02;0,5;Inf
2;0,2;1e-05;0,02;0,5;Inf
3;0,2;1e-05;0,02;0,5;Inf
4;0,2;1e-05;0,02;0,5;Inf
5;0,2;1e-05;0,02;0,5;Inf
6;0,2;1e-05;0,02;0,5;Inf
7;0,2;1e-05;0,02;0,5;Inf
8;0,2;1e-05;0,02;0,5;Inf
9;0,2;1e-05;0,02;0,5;Inf
10;0,2;1e-05;0,02;0,5;Inf
1;0,3;1e-05;0,02;0,5;Inf
2;0,3;1e-05;0,02;0,5;Inf
3;0,3;1e-05;0,02;0,5;Inf
4;0,3;1e-05;0,02;0,5;Inf
5;0,3;1e-05;0,02;0,5;Inf
6;0,3;1e-05;0,02;0,5;Inf
7;0,3;1e-05;0,02;0,5;Inf
8;0,3;1e-05;0,02;0,5;Inf
9;0,3;1e-05;0,02;0,5;Inf
10;0,3;1e-05;0,02;0,5;Inf
1;0,4;1e-05;0,02;0,5;Inf
2;0,4;1e-05;0,02;0,5;Inf
3;0,4;1e-05;0,02;0,5;Inf
4;0,4;1e-05;0,02;0,5;Inf
5;0,4;1e-05;0,02;0,5;Inf
6;0,4;1e-05;0,02;0,5;Inf
7;0,4;1e-05;0,02;0,5;Inf
8;0,4;1e-05;0,02;0,5;Inf
9;0,4;1e-05;0,02;0,5;Inf
10;0,4;1e-05;0,02;0,5;Inf
1;0,5;1e-05;0,02;0,5;Inf
2;0,5;1e-05;0,02;0,5;Inf
3;0,5;1e-05;0,02;0,5;Inf
4;0,5;1e-05;0,02;0,5;Inf
5;0,5;1e-05;0,02;0,5;Inf
6;0,5;1e-05;0,02;0,5;Inf
7;0,5;1e-05;0,02;0,5;Inf
8;0,5;1e-05;0,02;0,5;Inf
9;0,5;1e-05;0,02;0,5;Inf
10;0,5;1e-05;0,02;0,5;Inf
1;0,6;1e-05;0,02;0,5;Inf
2;0,6;1e-05;0,02;0,5;Inf
3;0,6;1e-05;0,02;0,5;Inf
4;0,6;1e-05;0,02;0,5;Inf
5;0,6;1e-05;0,02;0,5;Inf
6;0,6;1e-05;0,02;0,5;Inf
7;0,6;1e-05;0,02;0,5;Inf
8;0,6;1e-05;0,02;0,5;Inf
9;0,6;1e-05;0,02;0,5;Inf
10;0,6;1e-05;0,02;0,5;Inf
1;0,7;1e-05;0,02;0,5;Inf
2;0,7;1e-05;0,02;0,5;Inf
3;0,7;1e-05;0,02;0,5;Inf
4;0,7;1e-05;0,02;0,5;Inf
5;0,7;1e-05;0,02;0,5;Inf
6;0,7;1e-05;0,02;0,5;Inf
7;0,7;1e-05;0,02;0,5;Inf
8;0,7;1e-05;0,02;0,5;Inf
9;0,7;1e-05;0,02;0,5;Inf
10;0,7;1e-05;0,02;0,5;Inf
1;0,8;1e-05;0,02;0,5;Inf
2;0,8;1e-05;0,02;0,5;Inf
3;0,8;1e-05;0,02;0,5;Inf
4;0,8;1e-05;0,02;0,5;Inf
5;0,8;1e-05;0,02;0,5;Inf
6;0,8;1e-05;0,02;0,5;Inf
7;0,8;1e-05;0,02;0,5;Inf
8;0,8;1e-05;0,02;0,5;Inf
9;0,8;1e-05;0,02;0,5;Inf
10;0,8;1e-05;0,02;0,5;Inf
1;0,9;1e-05;0,02;0,5;Inf
2;0,9;1e-05;0,02;0,5;Inf
3;0,9;1e-05;0,02;0,5;Inf
4;0,9;1e-05;0,02;0,5;Inf
5;0,9;1e-05;0,02;0,5;Inf
6;0,9;1e-05;0,02;0,5;Inf
7;0,9;1e-05;0,02;0,5;Inf
8;0,9;1e-05;0,02;0,5;Inf
9;0,9;1e-05;0,02;0,5;Inf
10;0,9;1e-05;0,02;0,5;Inf
1;1;1e-05;0,02;0,5;Inf
2;1;1e-05;0,02;0,5;Inf
3;1;1e-05;0,02;0,5;Inf
4;1;1e-05;0,02;0,5;Inf
5;1;1e-05;0,02;0,5;Inf
6;1;1e-05;0,02;0,5;Inf
7;1;1e-05;0,02;0,5;Inf
8;1;1e-05;0,02;0,5;Inf
9;1;1e-05;0,02;0,5;Inf
10;1;1e-05;0,02;0,5;Inf
1;0,5;0,1;0,02;0,5;Inf
2;0,5;0,1;0,02;0,5;Inf
3;0,5;0,1;0,02;0,5;Inf
4;0,5;0,1;0,02;0,5;Inf
5;0,5;0,1;0,02;0,5;Inf
6;0,5;0,1;0,02;0,5;Inf
7;0,5;0,1;0,02;0,5;Inf
8;0,5;0,1;0,02;0,5;Inf
9;0,5;0,1;0,02;0,5;Inf
10;0,5;0,1;0,02;0,5;Inf
1;0,5;0,2;0,02;0,5;Inf
2;0,5;0,2;0,02;0,5;Inf
3;0,5;0,2;0,02;0,5;Inf
4;0,5;0,2;0,02;0,5;Inf
5;0,5;0,2;0,02;0,5;Inf
6;0,5;0,2;0,02;0,5;Inf
7;0,5;0,2;0,02;0,5;Inf
8;0,5;0,2;0,02;0,5;Inf
9;0,5;0,2;0,02;0,5;Inf
10;0,5;0,2;0,02;0,5;Inf
1;0,5;0,3;0,02;0,5;Inf
2;0,5;0,3;0,02;0,5;Inf
3;0,5;0,3;0,02;0,5;Inf
4;0,5;0,3;0,02;0,5;Inf
5;0,5;0,3;0,02;0,5;Inf
6;0,5;0,3;0,02;0,5;Inf
7;0,5;0,3;0,02;0,5;Inf
8;0,5;0,3;0,02;0,5;Inf
9;0,5;0,3;0,02;0,5;Inf
10;0,5;0,3;0,02;0,5;Inf
1;0,5;0,4;0,02;0,5;Inf
2;0,5;0,4;0,02;0,5;Inf
3;0,5;0,4;0,02;0,5;Inf
4;0,5;0,4;0,02;0,5;Inf
5;0,5;0,4;0,02;0,5;Inf
6;0,5;0,4;0,02;0,5;Inf
7;0,5;0,4;0,02;0,5;Inf
8;0,5;0,4;0,02;0,5;Inf
9;0,5;0,4;0,02;0,5;Inf
10;0,5;0,4;0,02;0,5;Inf
1;0,5;0,5;0,02;0,5;Inf
2;0,5;0,5;0,02;0,5;Inf
3;0,5;0,5;0,02;0,5;Inf
4;0,5;0,5;0,02;0,5;Inf
5;0,5;0,5;0,02;0,5;Inf
6;0,5;0,5;0,02;0,5;Inf
7;0,5;0,5;0,02;0,5;Inf
8;0,5;0,5;0,02;0,5;Inf
9;0,5;0,5;0,02;0,5;Inf
10;0,5;0,5;0,02;0,5;Inf
1;0,5;0,6;0,02;0,5;Inf
2;0,5;0,6;0,02;0,5;Inf
3;0,5;0,6;0,02;0,5;Inf
4;0,5;0,6;0,02;0,5;Inf
5;0,5;0,6;0,02;0,5;Inf
6;0,5;0,6;0,02;0,5;Inf
7;0,5;0,6;0,02;0,5;Inf
8;0,5;0,6;0,02;0,5;Inf
9;0,5;0,6;0,02;0,5;Inf
10;0,5;0,6;0,02;0,5;Inf
1;0,5;0,7;0,02;0,5;Inf
2;0,5;0,7;0,02;0,5;Inf
3;0,5;0,7;0,02;0,5;Inf
4;0,5;0,7;0,02;0,5;Inf
5;0,5;0,7;0,02;0,5;Inf
6;0,5;0,7;0,02;0,5;Inf
7;0,5;0,7;0,02;0,5;Inf
8;0,5;0,7;0,02;0,5;Inf
9;0,5;0,7;0,02;0,5;Inf
10;0,5;0,7;0,02;0,5;Inf
1;0,5;0,8;0,02;0,5;Inf
2;0,5;0,8;0,02;0,5;Inf
3;0,5;0,8;0,02;0,5;Inf
4;0,5;0,8;0,02;0,5;Inf
5;0,5;0,8;0,02;0,5;Inf
6;0,5;0,8;0,02;0,5;Inf
7;0,5;0,8;0,02;0,5;Inf
8;0,5;0,8;0,02;0,5;Inf
9;0,5;0,8;0,02;0,5;Inf
10;0,5;0,8;0,02;0,5;Inf
1;0,5;0,9;0,02;0,5;Inf
2;0,5;0,9;0,02;0,5;Inf
3;0,5;0,9;0,02;0,5;Inf
4;0,5;0,9;0,02;0,5;Inf
5;0,5;0,9;0,02;0,5;Inf
6;0,5;0,9;0,02;0,5;Inf
7;0,5;0,9;0,02;0,5;Inf
8;0,5;0,9;0,02;0,5;Inf
9;0,5;0,9;0,02;0,5;Inf
10;0,5;0,9;0,02;0,5;Inf
1;0,5;1;0,02;0,5;Inf
2;0,5;1;0,02;0,5;Inf
3;0,5;1;0,02;0,5;Inf
4;0,5;1;0,02;0,5;Inf
5;0,5;1;0,02;0,5;Inf
6;0,5;1;0,02;0,5;Inf
7;0,5;1;0,02;0,5;Inf
8;0,5;1;0,02;0,5;Inf
9;0,5;1;0,02;0,5;Inf
10;0,5;1;0,02;0,5;Inf
1;0,5;1e-05;0,012;0,5;Inf
2;0,5;1e-05;0,012;0,5;Inf
3;0,5;1e-05;0,012;0,5;Inf
4;0,5;1e-05;0,012;0,5;Inf
5;0,5;1e-05;0,012;0,5;Inf
6;0,5;1e-05;0,012;0,5;Inf
7;0,5;1e-05;0,012;0,5;Inf
8;0,5;1e-05;0,012;0,5;Inf
9;0,5;1e-05;0,012;0,5;Inf
10;0,5;1e-05;0,012;0,5;Inf
1;0,5;1e-05;0,014;0,5;Inf
2;0,5;1e-05;0,014;0,5;Inf
3;0,5;1e-05;0,014;0,5;Inf
4;0,5;1e-05;0,014;0,5;Inf
5;0,5;1e-05;0,014;0,5;Inf
