"lac";"mu";"gam";"laa";"K"
0,2;0,05;0,0075;0,1;20
0,4;0,05;0,0075;0,1;20
0,2;0,1;0,0075;0,1;20
0,4;0,1;0,0075;0,1;20
0,2;0,05;0,015;0,1;20
0,4;0,05;0,015;0,1;20
0,2;0,1;0,015;0,1;20
0,4;0,1;0,015;0,1;20
0,2;0,05;0,0075;0,2;20
0,4;0,05;0,0075;0,2;20
0,2;0,1;0,0075;0,2;20
0,4;0,1;0,0075;0,2;20
0,2;0,05;0,015;0,2;20
0,4;0,05;0,015;0,2;20
0,2;0,1;0,015;0,2;20
0,4;0,1;0,015;0,2;20
0,2;0,05;0,0075;0,1;Inf
0,4;0,05;0,0075;0,1;Inf
0,2;0,1;0,0075;0,1;Inf
0,4;0,1;0,0075;0,1;Inf
0,2;0,05;0,015;0,1;Inf
0,4;0,05;0,015;0,1;Inf
0,2;0,1;0,015;0,1;Inf
0,4;0,1;0,015;0,1;Inf
0,2;0,05;0,0075;0,2;Inf
0,4;0,05;0,0075;0,2;Inf
0,2;0,1;0,0075;0,2;Inf
0,4;0,1;0,0075;0,2;Inf
0,2;0,05;0,015;0,2;Inf
0,4;0,05;0,015;0,2;Inf
0,2;0,1;0,015;0,2;Inf
0,4;0,1;0,015;0,2;Inf
