"rep";"lac";"mu";"gam";"laa";"K"
1;0,267546419217251;0,2;0,01;0,2;Inf
2;0,267546419217251;0,2;0,01;0,2;Inf
3;0,267546419217251;0,2;0,01;0,2;Inf
4;0,267546419217251;0,2;0,01;0,2;Inf
5;0,267546419217251;0,2;0,01;0,2;Inf
1;0,438942544453312;0,2;0,01;0,2;Inf
2;0,438942544453312;0,2;0,01;0,2;Inf
3;0,438942544453312;0,2;0,01;0,2;Inf
4;0,438942544453312;0,2;0,01;0,2;Inf
5;0,438942544453312;0,2;0,01;0,2;Inf
1;0,354477138502989;0,2;0,01;0,2;Inf
2;0,354477138502989;0,2;0,01;0,2;Inf
3;0,354477138502989;0,2;0,01;0,2;Inf
4;0,354477138502989;0,2;0,01;0,2;Inf
5;0,354477138502989;0,2;0,01;0,2;Inf
1;0,180069346842356;0,2;0,01;0,2;Inf
2;0,180069346842356;0,2;0,01;0,2;Inf
3;0,180069346842356;0,2;0,01;0,2;Inf
4;0,180069346842356;0,2;0,01;0,2;Inf
5;0,180069346842356;0,2;0,01;0,2;Inf
1;0,220285410643555;0,2;0,01;0,2;Inf
2;0,220285410643555;0,2;0,01;0,2;Inf
3;0,220285410643555;0,2;0,01;0,2;Inf
4;0,220285410643555;0,2;0,01;0,2;Inf
5;0,220285410643555;0,2;0,01;0,2;Inf
1;0,365627597807907;0,2;0,01;0,2;Inf
2;0,365627597807907;0,2;0,01;0,2;Inf
3;0,365627597807907;0,2;0,01;0,2;Inf
4;0,365627597807907;0,2;0,01;0,2;Inf
5;0,365627597807907;0,2;0,01;0,2;Inf
1;0,445640347257722;0,2;0,01;0,2;Inf
2;0,445640347257722;0,2;0,01;0,2;Inf
3;0,445640347257722;0,2;0,01;0,2;Inf
4;0,445640347257722;0,2;0,01;0,2;Inf
5;0,445640347257722;0,2;0,01;0,2;Inf
1;0,0818604168365709;0,2;0,01;0,2;Inf
2;0,0818604168365709;0,2;0,01;0,2;Inf
3;0,0818604168365709;0,2;0,01;0,2;Inf
4;0,0818604168365709;0,2;0,01;0,2;Inf
5;0,0818604168365709;0,2;0,01;0,2;Inf
1;0,35728630956728;0,2;0,01;0,2;Inf
2;0,35728630956728;0,2;0,01;0,2;Inf
3;0,35728630956728;0,2;0,01;0,2;Inf
4;0,35728630956728;0,2;0,01;0,2;Inf
5;0,35728630956728;0,2;0,01;0,2;Inf
1;0,291439264919609;0,2;0,01;0,2;Inf
2;0,291439264919609;0,2;0,01;0,2;Inf
3;0,291439264919609;0,2;0,01;0,2;Inf
4;0,291439264919609;0,2;0,01;0,2;Inf
5;0,291439264919609;0,2;0,01;0,2;Inf
1;0,371696600294672;0,2;0,01;0,2;Inf
2;0,371696600294672;0,2;0,01;0,2;Inf
3;0,371696600294672;0,2;0,01;0,2;Inf
4;0,371696600294672;0,2;0,01;0,2;Inf
5;0,371696600294672;0,2;0,01;0,2;Inf
1;0,287917681434192;0,2;0,01;0,2;Inf
2;0,287917681434192;0,2;0,01;0,2;Inf
3;0,287917681434192;0,2;0,01;0,2;Inf
4;0,287917681434192;0,2;0,01;0,2;Inf
5;0,287917681434192;0,2;0,01;0,2;Inf
1;0,0611273231566884;0,2;0,01;0,2;Inf
2;0,0611273231566884;0,2;0,01;0,2;Inf
3;0,0611273231566884;0,2;0,01;0,2;Inf
4;0,0611273231566884;0,2;0,01;0,2;Inf
5;0,0611273231566884;0,2;0,01;0,2;Inf
1;0,289998414926231;0,2;0,01;0,2;Inf
2;0,289998414926231;0,2;0,01;0,2;Inf
3;0,289998414926231;0,2;0,01;0,2;Inf
4;0,289998414926231;0,2;0,01;0,2;Inf
5;0,289998414926231;0,2;0,01;0,2;Inf
1;0,186327921575867;0,2;0,01;0,2;Inf
2;0,186327921575867;0,2;0,01;0,2;Inf
3;0,186327921575867;0,2;0,01;0,2;Inf
4;0,186327921575867;0,2;0,01;0,2;Inf
5;0,186327921575867;0,2;0,01;0,2;Inf
1;0,37206432109233;0,2;0,01;0,2;Inf
2;0,37206432109233;0,2;0,01;0,2;Inf
3;0,37206432109233;0,2;0,01;0,2;Inf
4;0,37206432109233;0,2;0,01;0,2;Inf
5;0,37206432109233;0,2;0,01;0,2;Inf
1;0,387012263236102;0,2;0,01;0,2;Inf
2;0,387012263236102;0,2;0,01;0,2;Inf
3;0,387012263236102;0,2;0,01;0,2;Inf
4;0,387012263236102;0,2;0,01;0,2;Inf
5;0,387012263236102;0,2;0,01;0,2;Inf
1;0,219809684099164;0,2;0,01;0,2;Inf
2;0,219809684099164;0,2;0,01;0,2;Inf
3;0,219809684099164;0,2;0,01;0,2;Inf
4;0,219809684099164;0,2;0,01;0,2;Inf
5;0,219809684099164;0,2;0,01;0,2;Inf
1;0,138293855835218;0,2;0,01;0,2;Inf
2;0,138293855835218;0,2;0,01;0,2;Inf
3;0,138293855835218;0,2;0,01;0,2;Inf
4;0,138293855835218;0,2;0,01;0,2;Inf
5;0,138293855835218;0,2;0,01;0,2;Inf
1;0,381449933699332;0,2;0,01;0,2;Inf
2;0,381449933699332;0,2;0,01;0,2;Inf
3;0,381449933699332;0,2;0,01;0,2;Inf
4;0,381449933699332;0,2;0,01;0,2;Inf
5;0,381449933699332;0,2;0,01;0,2;Inf
1;0,314400034607388;0,2;0,01;0,2;Inf
