"rep";"lac";"mu";"gam";"laa";"K"
1;0,2;0,05;0,015;0,2;Inf
2;0,2;0,05;0,015;0,2;Inf
3;0,2;0,05;0,015;0,2;Inf
4;0,2;0,05;0,015;0,2;Inf
5;0,2;0,05;0,015;0,2;Inf
6;0,2;0,05;0,015;0,2;Inf
7;0,2;0,05;0,015;0,2;Inf
8;0,2;0,05;0,015;0,2;Inf
9;0,2;0,05;0,015;0,2;Inf
10;0,2;0,05;0,015;0,2;Inf
1;0,4;0,05;0,015;0,2;Inf
2;0,4;0,05;0,015;0,2;Inf
3;0,4;0,05;0,015;0,2;Inf
4;0,4;0,05;0,015;0,2;Inf
5;0,4;0,05;0,015;0,2;Inf
6;0,4;0,05;0,015;0,2;Inf
7;0,4;0,05;0,015;0,2;Inf
8;0,4;0,05;0,015;0,2;Inf
9;0,4;0,05;0,015;0,2;Inf
10;0,4;0,05;0,015;0,2;Inf
1;0,6;0,05;0,015;0,2;Inf
2;0,6;0,05;0,015;0,2;Inf
3;0,6;0,05;0,015;0,2;Inf
4;0,6;0,05;0,015;0,2;Inf
5;0,6;0,05;0,015;0,2;Inf
6;0,6;0,05;0,015;0,2;Inf
7;0,6;0,05;0,015;0,2;Inf
8;0,6;0,05;0,015;0,2;Inf
9;0,6;0,05;0,015;0,2;Inf
10;0,6;0,05;0,015;0,2;Inf
1;0,8;0,05;0,015;0,2;Inf
2;0,8;0,05;0,015;0,2;Inf
3;0,8;0,05;0,015;0,2;Inf
4;0,8;0,05;0,015;0,2;Inf
5;0,8;0,05;0,015;0,2;Inf
6;0,8;0,05;0,015;0,2;Inf
7;0,8;0,05;0,015;0,2;Inf
8;0,8;0,05;0,015;0,2;Inf
9;0,8;0,05;0,015;0,2;Inf
10;0,8;0,05;0,015;0,2;Inf
1;0,5;0,05;0,015;0,2;Inf
2;0,5;0,05;0,015;0,2;Inf
3;0,5;0,05;0,015;0,2;Inf
4;0,5;0,05;0,015;0,2;Inf
5;0,5;0,05;0,015;0,2;Inf
6;0,5;0,05;0,015;0,2;Inf
