"";"lac";"mu";"gam";"laa";"K"
"1";0,4;0;0,003;0,1;20
"1.1";0,4;0;0,003;0,1;20
"1.2";0,4;0;0,003;0,1;20
"1.3";0,4;0;0,003;0,1;20
"1.4";0,4;0;0,003;0,1;20
"1.5";0,4;0;0,003;0,1;20
"1.6";0,4;0;0,003;0,1;20
"1.7";0,4;0;0,003;0,1;20
"1.8";0,4;0;0,003;0,1;20
"1.9";0,4;0;0,003;0,1;20
"2";0,7;0;0,003;0,1;20
"2.1";0,7;0;0,003;0,1;20
"2.2";0,7;0;0,003;0,1;20
"2.3";0,7;0;0,003;0,1;20
"2.4";0,7;0;0,003;0,1;20
"2.5";0,7;0;0,003;0,1;20
"2.6";0,7;0;0,003;0,1;20
"2.7";0,7;0;0,003;0,1;20
"2.8";0,7;0;0,003;0,1;20
"2.9";0,7;0;0,003;0,1;20
"3";0,4;0,3;0,003;0,1;20
"3.1";0,4;0,3;0,003;0,1;20
"3.2";0,4;0,3;0,003;0,1;20
"3.3";0,4;0,3;0,003;0,1;20
"3.4";0,4;0,3;0,003;0,1;20
"3.5";0,4;0,3;0,003;0,1;20
"3.6";0,4;0,3;0,003;0,1;20
"3.7";0,4;0,3;0,003;0,1;20
"3.8";0,4;0,3;0,003;0,1;20
"3.9";0,4;0,3;0,003;0,1;20
"4";0,7;0,3;0,003;0,1;20
"4.1";0,7;0,3;0,003;0,1;20
"4.2";0,7;0,3;0,003;0,1;20
"4.3";0,7;0,3;0,003;0,1;20
"4.4";0,7;0,3;0,003;0,1;20
"4.5";0,7;0,3;0,003;0,1;20
"4.6";0,7;0,3;0,003;0,1;20
"4.7";0,7;0,3;0,003;0,1;20
"4.8";0,7;0,3;0,003;0,1;20
"4.9";0,7;0,3;0,003;0,1;20
"5";0,4;0;0,009;0,1;20
"5.1";0,4;0;0,009;0,1;20
"5.2";0,4;0;0,009;0,1;20
"5.3";0,4;0;0,009;0,1;20
"5.4";0,4;0;0,009;0,1;20
"5.5";0,4;0;0,009;0,1;20
"5.6";0,4;0;0,009;0,1;20
"5.7";0,4;0;0,009;0,1;20
"5.8";0,4;0;0,009;0,1;20
"5.9";0,4;0;0,009;0,1;20
"6";0,7;0;0,009;0,1;20
"6.1";0,7;0;0,009;0,1;20
"6.2";0,7;0;0,009;0,1;20
"6.3";0,7;0;0,009;0,1;20
"6.4";0,7;0;0,009;0,1;20
"6.5";0,7;0;0,009;0,1;20
