"lac";"mu";"gam";"laa";"K"
0,3;0;0,003;0,1;20
0,3;0;0,003;0,1;20
0,3;0;0,003;0,1;20
0,3;0;0,003;0,1;20
0,3;0;0,003;0,1;20
0,3;0;0,003;0,1;20
0,3;0;0,003;0,1;20
0,3;0;0,003;0,1;20
0,3;0;0,003;0,1;20
0,3;0;0,003;0,1;20
1;0;0,003;0,1;20
1;0;0,003;0,1;20
1;0;0,003;0,1;20
1;0;0,003;0,1;20
1;0;0,003;0,1;20
1;0;0,003;0,1;20
1;0;0,003;0,1;20
1;0;0,003;0,1;20
1;0;0,003;0,1;20
1;0;0,003;0,1;20
0,3;0,3;0,003;0,1;20
0,3;0,3;0,003;0,1;20
0,3;0,3;0,003;0,1;20
0,3;0,3;0,003;0,1;20
0,3;0,3;0,003;0,1;20
0,3;0,3;0,003;0,1;20
0,3;0,3;0,003;0,1;20
0,3;0,3;0,003;0,1;20
0,3;0,3;0,003;0,1;20
0,3;0,3;0,003;0,1;20
1;0,3;0,003;0,1;20
1;0,3;0,003;0,1;20
1;0,3;0,003;0,1;20
1;0,3;0,003;0,1;20
1;0,3;0,003;0,1;20
1;0,3;0,003;0,1;20
1;0,3;0,003;0,1;20
1;0,3;0,003;0,1;20
1;0,3;0,003;0,1;20
1;0,3;0,003;0,1;20
0,3;0;0,012;0,1;20
0,3;0;0,012;0,1;20
0,3;0;0,012;0,1;20
0,3;0;0,012;0,1;20
0,3;0;0,012;0,1;20
0,3;0;0,012;0,1;20
0,3;0;0,012;0,1;20
0,3;0;0,012;0,1;20
0,3;0;0,012;0,1;20
0,3;0;0,012;0,1;20
1;0;0,012;0,1;20
1;0;0,012;0,1;20
1;0;0,012;0,1;20
1;0;0,012;0,1;20
1;0;0,012;0,1;20
1;0;0,012;0,1;20
1;0;0,012;0,1;20
1;0;0,012;0,1;20
1;0;0,012;0,1;20
1;0;0,012;0,1;20
0,3;0,3;0,012;0,1;20
0,3;0,3;0,012;0,1;20
0,3;0,3;0,012;0,1;20
0,3;0,3;0,012;0,1;20
0,3;0,3;0,012;0,1;20
0,3;0,3;0,012;0,1;20
0,3;0,3;0,012;0,1;20
0,3;0,3;0,012;0,1;20
0,3;0,3;0,012;0,1;20
0,3;0,3;0,012;0,1;20
1;0,3;0,012;0,1;20
1;0,3;0,012;0,1;20
1;0,3;0,012;0,1;20
1;0,3;0,012;0,1;20
1;0,3;0,012;0,1;20
1;0,3;0,012;0,1;20
1;0,3;0,012;0,1;20
1;0,3;0,012;0,1;20
1;0,3;0,012;0,1;20
1;0,3;0,012;0,1;20
0,3;0;0,003;1;20
0,3;0;0,003;1;20
0,3;0;0,003;1;20
0,3;0;0,003;1;20
0,3;0;0,003;1;20
0,3;0;0,003;1;20
0,3;0;0,003;1;20
0,3;0;0,003;1;20
0,3;0;0,003;1;20
0,3;0;0,003;1;20
1;0;0,003;1;20
1;0;0,003;1;20
1;0;0,003;1;20
1;0;0,003;1;20
1;0;0,003;1;20
1;0;0,003;1;20
1;0;0,003;1;20
1;0;0,003;1;20
1;0;0,003;1;20
1;0;0,003;1;20
0,3;0,3;0,003;1;20
0,3;0,3;0,003;1;20
0,3;0,3;0,003;1;20
0,3;0,3;0,003;1;20
0,3;0,3;0,003;1;20
0,3;0,3;0,003;1;20
0,3;0,3;0,003;1;20
0,3;0,3;0,003;1;20
0,3;0,3;0,003;1;20
0,3;0,3;0,003;1;20
1;0,3;0,003;1;20
1;0,3;0,003;1;20
1;0,3;0,003;1;20
1;0,3;0,003;1;20
1;0,3;0,003;1;20
1;0,3;0,003;1;20
1;0,3;0,003;1;20
1;0,3;0,003;1;20
1;0,3;0,003;1;20
1;0,3;0,003;1;20
0,3;0;0,012;1;20
0,3;0;0,012;1;20
0,3;0;0,012;1;20
0,3;0;0,012;1;20
0,3;0;0,012;1;20
0,3;0;0,012;1;20
0,3;0;0,012;1;20
0,3;0;0,012;1;20
0,3;0;0,012;1;20
0,3;0;0,012;1;20
1;0;0,012;1;20
1;0;0,012;1;20
1;0;0,012;1;20
1;0;0,012;1;20
1;0;0,012;1;20
1;0;0,012;1;20
1;0;0,012;1;20
1;0;0,012;1;20
1;0;0,012;1;20
1;0;0,012;1;20
0,3;0,3;0,012;1;20
0,3;0,3;0,012;1;20
0,3;0,3;0,012;1;20
0,3;0,3;0,012;1;20
0,3;0,3;0,012;1;20
0,3;0,3;0,012;1;20
0,3;0,3;0,012;1;20
0,3;0,3;0,012;1;20
0,3;0,3;0,012;1;20
0,3;0,3;0,012;1;20
1;0,3;0,012;1;20
1;0,3;0,012;1;20
1;0,3;0,012;1;20
1;0,3;0,012;1;20
1;0,3;0,012;1;20
1;0,3;0,012;1;20
1;0,3;0,012;1;20
1;0,3;0,012;1;20
1;0,3;0,012;1;20
1;0,3;0,012;1;20
