"lac";"mu";"gam";"laa";"K"
0,3;0;0,006;0,1;20
0,5;0;0,006;0,1;20
0,7;0;0,006;0,1;20
0,3;0,1;0,006;0,1;20
0,5;0,1;0,006;0,1;20
0,7;0,1;0,006;0,1;20
0,3;0,2;0,006;0,1;20
0,5;0,2;0,006;0,1;20
0,7;0,2;0,006;0,1;20
0,3;0;0,009;0,1;20
0,5;0;0,009;0,1;20
0,7;0;0,009;0,1;20
0,3;0,1;0,009;0,1;20
0,5;0,1;0,009;0,1;20
0,7;0,1;0,009;0,1;20
0,3;0,2;0,009;0,1;20
0,5;0,2;0,009;0,1;20
0,7;0,2;0,009;0,1;20
0,3;0;0,012;0,1;20
0,5;0;0,012;0,1;20
0,7;0;0,012;0,1;20
0,3;0,1;0,012;0,1;20
0,5;0,1;0,012;0,1;20
0,7;0,1;0,012;0,1;20
0,3;0,2;0,012;0,1;20
0,5;0,2;0,012;0,1;20
0,7;0,2;0,012;0,1;20
0,3;0;0,006;0,2;20
0,5;0;0,006;0,2;20
0,7;0;0,006;0,2;20
0,3;0,1;0,006;0,2;20
0,5;0,1;0,006;0,2;20
0,7;0,1;0,006;0,2;20
0,3;0,2;0,006;0,2;20
0,5;0,2;0,006;0,2;20
0,7;0,2;0,006;0,2;20
0,3;0;0,009;0,2;20
0,5;0;0,009;0,2;20
0,7;0;0,009;0,2;20
0,3;0,1;0,009;0,2;20
0,5;0,1;0,009;0,2;20
0,7;0,1;0,009;0,2;20
0,3;0,2;0,009;0,2;20
0,5;0,2;0,009;0,2;20
0,7;0,2;0,009;0,2;20
0,3;0;0,012;0,2;20
0,5;0;0,012;0,2;20
0,7;0;0,012;0,2;20
0,3;0,1;0,012;0,2;20
0,5;0,1;0,012;0,2;20
0,7;0,1;0,012;0,2;20
0,3;0,2;0,012;0,2;20
0,5;0,2;0,012;0,2;20
0,7;0,2;0,012;0,2;20
0,3;0;0,006;0,3;20
0,5;0;0,006;0,3;20
0,7;0;0,006;0,3;20
0,3;0,1;0,006;0,3;20
0,5;0,1;0,006;0,3;20
0,7;0,1;0,006;0,3;20
0,3;0,2;0,006;0,3;20
0,5;0,2;0,006;0,3;20
0,7;0,2;0,006;0,3;20
0,3;0;0,009;0,3;20
0,5;0;0,009;0,3;20
0,7;0;0,009;0,3;20
0,3;0,1;0,009;0,3;20
0,5;0,1;0,009;0,3;20
0,7;0,1;0,009;0,3;20
0,3;0,2;0,009;0,3;20
0,5;0,2;0,009;0,3;20
0,7;0,2;0,009;0,3;20
0,3;0;0,012;0,3;20
0,5;0;0,012;0,3;20
0,7;0;0,012;0,3;20
0,3;0,1;0,012;0,3;20
0,5;0,1;0,012;0,3;20
0,7;0,1;0,012;0,3;20
0,3;0,2;0,012;0,3;20
0,5;0,2;0,012;0,3;20
0,7;0,2;0,012;0,3;20
