"seed";"lac";"mu";"gam";"laa";"K"
1;0,2;0,1;0,005;0,1;40
2;0,2;0,1;0,005;0,1;40
3;0,2;0,1;0,005;0,1;40
4;0,2;0,1;0,005;0,1;40
5;0,2;0,1;0,005;0,1;40
6;0,2;0,1;0,005;0,1;40
7;0,2;0,1;0,005;0,1;40
8;0,2;0,1;0,005;0,1;40
9;0,2;0,1;0,005;0,1;40
10;0,2;0,1;0,005;0,1;40
1;0,4;0,1;0,005;0,1;40
2;0,4;0,1;0,005;0,1;40
3;0,4;0,1;0,005;0,1;40
4;0,4;0,1;0,005;0,1;40
5;0,4;0,1;0,005;0,1;40
6;0,4;0,1;0,005;0,1;40
7;0,4;0,1;0,005;0,1;40
8;0,4;0,1;0,005;0,1;40
9;0,4;0,1;0,005;0,1;40
10;0,4;0,1;0,005;0,1;40
1;0,2;0,2;0,005;0,1;40
2;0,2;0,2;0,005;0,1;40
3;0,2;0,2;0,005;0,1;40
4;0,2;0,2;0,005;0,1;40
5;0,2;0,2;0,005;0,1;40
6;0,2;0,2;0,005;0,1;40
7;0,2;0,2;0,005;0,1;40
8;0,2;0,2;0,005;0,1;40
9;0,2;0,2;0,005;0,1;40
10;0,2;0,2;0,005;0,1;40
1;0,4;0,2;0,005;0,1;40
2;0,4;0,2;0,005;0,1;40
3;0,4;0,2;0,005;0,1;40
4;0,4;0,2;0,005;0,1;40
5;0,4;0,2;0,005;0,1;40
6;0,4;0,2;0,005;0,1;40
7;0,4;0,2;0,005;0,1;40
8;0,4;0,2;0,005;0,1;40
9;0,4;0,2;0,005;0,1;40
10;0,4;0,2;0,005;0,1;40
1;0,2;0,1;0,01;0,1;40
2;0,2;0,1;0,01;0,1;40
3;0,2;0,1;0,01;0,1;40
4;0,2;0,1;0,01;0,1;40
5;0,2;0,1;0,01;0,1;40
6;0,2;0,1;0,01;0,1;40
7;0,2;0,1;0,01;0,1;40
8;0,2;0,1;0,01;0,1;40
9;0,2;0,1;0,01;0,1;40
10;0,2;0,1;0,01;0,1;40
1;0,4;0,1;0,01;0,1;40
2;0,4;0,1;0,01;0,1;40
3;0,4;0,1;0,01;0,1;40
4;0,4;0,1;0,01;0,1;40
5;0,4;0,1;0,01;0,1;40
6;0,4;0,1;0,01;0,1;40
7;0,4;0,1;0,01;0,1;40
8;0,4;0,1;0,01;0,1;40
9;0,4;0,1;0,01;0,1;40
10;0,4;0,1;0,01;0,1;40
1;0,2;0,2;0,01;0,1;40
2;0,2;0,2;0,01;0,1;40
3;0,2;0,2;0,01;0,1;40
4;0,2;0,2;0,01;0,1;40
5;0,2;0,2;0,01;0,1;40
6;0,2;0,2;0,01;0,1;40
7;0,2;0,2;0,01;0,1;40
8;0,2;0,2;0,01;0,1;40
9;0,2;0,2;0,01;0,1;40
10;0,2;0,2;0,01;0,1;40
1;0,4;0,2;0,01;0,1;40
2;0,4;0,2;0,01;0,1;40
3;0,4;0,2;0,01;0,1;40
4;0,4;0,2;0,01;0,1;40
5;0,4;0,2;0,01;0,1;40
6;0,4;0,2;0,01;0,1;40
7;0,4;0,2;0,01;0,1;40
8;0,4;0,2;0,01;0,1;40
9;0,4;0,2;0,01;0,1;40
10;0,4;0,2;0,01;0,1;40
1;0,2;0,1;0,005;0,2;40
2;0,2;0,1;0,005;0,2;40
3;0,2;0,1;0,005;0,2;40
4;0,2;0,1;0,005;0,2;40
5;0,2;0,1;0,005;0,2;40
6;0,2;0,1;0,005;0,2;40
7;0,2;0,1;0,005;0,2;40
8;0,2;0,1;0,005;0,2;40
9;0,2;0,1;0,005;0,2;40
10;0,2;0,1;0,005;0,2;40
1;0,4;0,1;0,005;0,2;40
2;0,4;0,1;0,005;0,2;40
3;0,4;0,1;0,005;0,2;40
4;0,4;0,1;0,005;0,2;40
5;0,4;0,1;0,005;0,2;40
6;0,4;0,1;0,005;0,2;40
7;0,4;0,1;0,005;0,2;40
8;0,4;0,1;0,005;0,2;40
9;0,4;0,1;0,005;0,2;40
10;0,4;0,1;0,005;0,2;40
1;0,2;0,2;0,005;0,2;40
2;0,2;0,2;0,005;0,2;40
3;0,2;0,2;0,005;0,2;40
4;0,2;0,2;0,005;0,2;40
5;0,2;0,2;0,005;0,2;40
6;0,2;0,2;0,005;0,2;40
7;0,2;0,2;0,005;0,2;40
8;0,2;0,2;0,005;0,2;40
9;0,2;0,2;0,005;0,2;40
10;0,2;0,2;0,005;0,2;40
1;0,4;0,2;0,005;0,2;40
2;0,4;0,2;0,005;0,2;40
3;0,4;0,2;0,005;0,2;40
4;0,4;0,2;0,005;0,2;40
5;0,4;0,2;0,005;0,2;40
6;0,4;0,2;0,005;0,2;40
7;0,4;0,2;0,005;0,2;40
8;0,4;0,2;0,005;0,2;40
9;0,4;0,2;0,005;0,2;40
10;0,4;0,2;0,005;0,2;40
1;0,2;0,1;0,01;0,2;40
2;0,2;0,1;0,01;0,2;40
3;0,2;0,1;0,01;0,2;40
4;0,2;0,1;0,01;0,2;40
5;0,2;0,1;0,01;0,2;40
6;0,2;0,1;0,01;0,2;40
7;0,2;0,1;0,01;0,2;40
8;0,2;0,1;0,01;0,2;40
9;0,2;0,1;0,01;0,2;40
10;0,2;0,1;0,01;0,2;40
1;0,4;0,1;0,01;0,2;40
2;0,4;0,1;0,01;0,2;40
3;0,4;0,1;0,01;0,2;40
