"rep";"lac";"mu";"gam";"laa";"K";"lac2";"mu2";"gam2";"laa2";"trans";"trans2"
1;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
2;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
3;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
4;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
5;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
6;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
7;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
8;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
9;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
10;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
11;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
12;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
13;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
14;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
15;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
16;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
17;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
18;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
19;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
20;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
21;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
22;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
23;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
24;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
25;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
26;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
27;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
28;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
29;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
30;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
31;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
32;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
33;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
34;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
35;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
36;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
37;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
38;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
39;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
40;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
41;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
42;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
43;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
44;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
45;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
46;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
47;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
48;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
49;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
50;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
1;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
2;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
3;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
4;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
5;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
6;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
7;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
8;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
9;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
10;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
11;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
12;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
13;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
14;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
15;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
16;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
17;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
18;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
19;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
20;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
21;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
22;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
23;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
24;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
25;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
26;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
27;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
28;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
29;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
30;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
31;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
32;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
33;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
34;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
35;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
36;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
37;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
38;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
39;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
40;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
41;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
42;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
43;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
44;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
45;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
46;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
47;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
48;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
49;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
50;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
1;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
2;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
3;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
4;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
5;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
6;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
7;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
8;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
9;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
10;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
11;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
12;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
13;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
14;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
15;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
16;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
17;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
18;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
19;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
20;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
21;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
22;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
23;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
24;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
25;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
26;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
27;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
28;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
29;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
30;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
31;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
32;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
33;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
34;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
35;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
36;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
37;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
38;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
39;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
40;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
41;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
42;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
43;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
44;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
45;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
46;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
47;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
48;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
49;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
50;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
1;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
2;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
3;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
4;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
5;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
6;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
7;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
8;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
9;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
10;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
11;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
12;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
13;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
14;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
15;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
16;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
17;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
18;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
19;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
20;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
21;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
22;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
23;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
24;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
25;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
26;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
27;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
28;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
29;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
30;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
31;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
32;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
33;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
34;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
35;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
36;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
37;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
38;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
39;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
40;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
41;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
42;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
43;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
44;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
45;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
46;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
47;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
48;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
49;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
