"rep";"lac";"mu";"gam";"laa";"K";"lac2";"mu2";"gam2";"laa2";"trans";"trans2"
1;0,292447593121324;0,2;0,01;0,2;Inf;0,307552406878676;0,2;0,01;0,2;0;0
2;0,292447593121324;0,2;0,01;0,2;Inf;0,307552406878676;0,2;0,01;0,2;0;0
3;0,292447593121324;0,2;0,01;0,2;Inf;0,307552406878676;0,2;0,01;0,2;0;0
4;0,292447593121324;0,2;0,01;0,2;Inf;0,307552406878676;0,2;0,01;0,2;0;0
5;0,292447593121324;0,2;0,01;0,2;Inf;0,307552406878676;0,2;0,01;0,2;0;0
1;0,0934334555175155;0,2;0,01;0,2;Inf;0,506566544482485;0,2;0,01;0,2;0;0
2;0,0934334555175155;0,2;0,01;0,2;Inf;0,506566544482485;0,2;0,01;0,2;0;0
3;0,0934334555175155;0,2;0,01;0,2;Inf;0,506566544482485;0,2;0,01;0,2;0;0
4;0,0934334555175155;0,2;0,01;0,2;Inf;0,506566544482485;0,2;0,01;0,2;0;0
5;0,0934334555175155;0,2;0,01;0,2;Inf;0,506566544482485;0,2;0,01;0,2;0;0
1;0,218917404790409;0,2;0,01;0,2;Inf;0,381082595209591;0,2;0,01;0,2;0;0
2;0,218917404790409;0,2;0,01;0,2;Inf;0,381082595209591;0,2;0,01;0,2;0;0
3;0,218917404790409;0,2;0,01;0,2;Inf;0,381082595209591;0,2;0,01;0,2;0;0
4;0,218917404790409;0,2;0,01;0,2;Inf;0,381082595209591;0,2;0,01;0,2;0;0
5;0,218917404790409;0,2;0,01;0,2;Inf;0,381082595209591;0,2;0,01;0,2;0;0
1;0,375517178175505;0,2;0,01;0,2;Inf;0,224482821824495;0,2;0,01;0,2;0;0
2;0,375517178175505;0,2;0,01;0,2;Inf;0,224482821824495;0,2;0,01;0,2;0;0
3;0,375517178175505;0,2;0,01;0,2;Inf;0,224482821824495;0,2;0,01;0,2;0;0
4;0,375517178175505;0,2;0,01;0,2;Inf;0,224482821824495;0,2;0,01;0,2;0;0
5;0,375517178175505;0,2;0,01;0,2;Inf;0,224482821824495;0,2;0,01;0,2;0;0
1;0,17554523369763;0,2;0,01;0,2;Inf;0,42445476630237;0,2;0,01;0,2;0;0
2;0,17554523369763;0,2;0,01;0,2;Inf;0,42445476630237;0,2;0,01;0,2;0;0
3;0,17554523369763;0,2;0,01;0,2;Inf;0,42445476630237;0,2;0,01;0,2;0;0
4;0,17554523369763;0,2;0,01;0,2;Inf;0,42445476630237;0,2;0,01;0,2;0;0
5;0,17554523369763;0,2;0,01;0,2;Inf;0,42445476630237;0,2;0,01;0,2;0;0
1;0,306373801094014;0,2;0,01;0,2;Inf;0,293626198905986;0,2;0,01;0,2;0;0
2;0,306373801094014;0,2;0,01;0,2;Inf;0,293626198905986;0,2;0,01;0,2;0;0
3;0,306373801094014;0,2;0,01;0,2;Inf;0,293626198905986;0,2;0,01;0,2;0;0
4;0,306373801094014;0,2;0,01;0,2;Inf;0,293626198905986;0,2;0,01;0,2;0;0
5;0,306373801094014;0,2;0,01;0,2;Inf;0,293626198905986;0,2;0,01;0,2;0;0
1;0,419268099567853;0,2;0,01;0,2;Inf;0,180731900432147;0,2;0,01;0,2;0;0
2;0,419268099567853;0,2;0,01;0,2;Inf;0,180731900432147;0,2;0,01;0,2;0;0
3;0,419268099567853;0,2;0,01;0,2;Inf;0,180731900432147;0,2;0,01;0,2;0;0
4;0,419268099567853;0,2;0,01;0,2;Inf;0,180731900432147;0,2;0,01;0,2;0;0
5;0,419268099567853;0,2;0,01;0,2;Inf;0,180731900432147;0,2;0,01;0,2;0;0
1;0,0561607204843313;0,2;0,01;0,2;Inf;0,543839279515669;0,2;0,01;0,2;0;0
2;0,0561607204843313;0,2;0,01;0,2;Inf;0,543839279515669;0,2;0,01;0,2;0;0
3;0,0561607204843313;0,2;0,01;0,2;Inf;0,543839279515669;0,2;0,01;0,2;0;0
4;0,0561607204843313;0,2;0,01;0,2;Inf;0,543839279515669;0,2;0,01;0,2;0;0
5;0,0561607204843313;0,2;0,01;0,2;Inf;0,543839279515669;0,2;0,01;0,2;0;0
1;0,224605539778713;0,2;0,01;0,2;Inf;0,375394460221287;0,2;0,01;0,2;0;0
2;0,224605539778713;0,2;0,01;0,2;Inf;0,375394460221287;0,2;0,01;0,2;0;0
3;0,224605539778713;0,2;0,01;0,2;Inf;0,375394460221287;0,2;0,01;0,2;0;0
4;0,224605539778713;0,2;0,01;0,2;Inf;0,375394460221287;0,2;0,01;0,2;0;0
5;0,224605539778713;0,2;0,01;0,2;Inf;0,375394460221287;0,2;0,01;0,2;0;0
1;0,337854188343044;0,2;0,01;0,2;Inf;0,262145811656956;0,2;0,01;0,2;0;0
2;0,337854188343044;0,2;0,01;0,2;Inf;0,262145811656956;0,2;0,01;0,2;0;0
3;0,337854188343044;0,2;0,01;0,2;Inf;0,262145811656956;0,2;0,01;0,2;0;0
4;0,337854188343044;0,2;0,01;0,2;Inf;0,262145811656956;0,2;0,01;0,2;0;0
5;0,337854188343044;0,2;0,01;0,2;Inf;0,262145811656956;0,2;0,01;0,2;0;0
1;0,196822428458836;0,2;0,01;0,2;Inf;0,403177571541164;0,2;0,01;0,2;0;0
2;0,196822428458836;0,2;0,01;0,2;Inf;0,403177571541164;0,2;0,01;0,2;0;0
3;0,196822428458836;0,2;0,01;0,2;Inf;0,403177571541164;0,2;0,01;0,2;0;0
4;0,196822428458836;0,2;0,01;0,2;Inf;0,403177571541164;0,2;0,01;0,2;0;0
5;0,196822428458836;0,2;0,01;0,2;Inf;0,403177571541164;0,2;0,01;0,2;0;0
1;0,415322831424419;0,2;0,01;0,2;Inf;0,184677168575581;0,2;0,01;0,2;0;0
2;0,415322831424419;0,2;0,01;0,2;Inf;0,184677168575581;0,2;0,01;0,2;0;0
3;0,415322831424419;0,2;0,01;0,2;Inf;0,184677168575581;0,2;0,01;0,2;0;0
4;0,415322831424419;0,2;0,01;0,2;Inf;0,184677168575581;0,2;0,01;0,2;0;0
5;0,415322831424419;0,2;0,01;0,2;Inf;0,184677168575581;0,2;0,01;0,2;0;0
1;0,437597536446992;0,2;0,01;0,2;Inf;0,162402463553008;0,2;0,01;0,2;0;0
2;0,437597536446992;0,2;0,01;0,2;Inf;0,162402463553008;0,2;0,01;0,2;0;0
3;0,437597536446992;0,2;0,01;0,2;Inf;0,162402463553008;0,2;0,01;0,2;0;0
4;0,437597536446992;0,2;0,01;0,2;Inf;0,162402463553008;0,2;0,01;0,2;0;0
5;0,437597536446992;0,2;0,01;0,2;Inf;0,162402463553008;0,2;0,01;0,2;0;0
1;0,203460445266683;0,2;0,01;0,2;Inf;0,396539554733317;0,2;0,01;0,2;0;0
2;0,203460445266683;0,2;0,01;0,2;Inf;0,396539554733317;0,2;0,01;0,2;0;0
3;0,203460445266683;0,2;0,01;0,2;Inf;0,396539554733317;0,2;0,01;0,2;0;0
4;0,203460445266683;0,2;0,01;0,2;Inf;0,396539554733317;0,2;0,01;0,2;0;0
5;0,203460445266683;0,2;0,01;0,2;Inf;0,396539554733317;0,2;0,01;0,2;0;0
1;0,496963400463574;0,2;0,01;0,2;Inf;0,103036599536426;0,2;0,01;0,2;0;0
2;0,496963400463574;0,2;0,01;0,2;Inf;0,103036599536426;0,2;0,01;0,2;0;0
3;0,496963400463574;0,2;0,01;0,2;Inf;0,103036599536426;0,2;0,01;0,2;0;0
4;0,496963400463574;0,2;0,01;0,2;Inf;0,103036599536426;0,2;0,01;0,2;0;0
5;0,496963400463574;0,2;0,01;0,2;Inf;0,103036599536426;0,2;0,01;0,2;0;0
1;0,247458058455959;0,2;0,01;0,2;Inf;0,352541941544041;0,2;0,01;0,2;0;0
2;0,247458058455959;0,2;0,01;0,2;Inf;0,352541941544041;0,2;0,01;0,2;0;0
3;0,247458058455959;0,2;0,01;0,2;Inf;0,352541941544041;0,2;0,01;0,2;0;0
4;0,247458058455959;0,2;0,01;0,2;Inf;0,352541941544041;0,2;0,01;0,2;0;0
5;0,247458058455959;0,2;0,01;0,2;Inf;0,352541941544041;0,2;0,01;0,2;0;0
1;0,408234578883275;0,2;0,01;0,2;Inf;0,191765421116725;0,2;0,01;0,2;0;0
2;0,408234578883275;0,2;0,01;0,2;Inf;0,191765421116725;0,2;0,01;0,2;0;0
3;0,408234578883275;0,2;0,01;0,2;Inf;0,191765421116725;0,2;0,01;0,2;0;0
4;0,408234578883275;0,2;0,01;0,2;Inf;0,191765421116725;0,2;0,01;0,2;0;0
